protNames uEMDscore qVal
61E3.4 0 1
A1BG 0.0109846580496586 1
A1CF 0.109962131655341 1
A2M 0.0163782617862182 1
A2ML1 0 1
A4GALT 0.00714025072574237 1
A4GNT 0.013231621284118 1
AAAS 0.0440732391625176 1
AACS 0.0187071244384619 1
AADAC 0.0260975332868426 1
AADACL2 0.0152284263959391 1
AADACL3 0.00101522842639594 1
AADACL4 0.145177664974619 1
AADAT 0.0263959390862944 1
AAED1 0 1
AAGAB 0.0077224663888033 1
AAK1 0.0183414151570685 1
AAMDC 0 1
AAMP 0 1
AANAT 0.0182741116751269 1
AAR2 0 1
AARD 0 1
AARS 0.197223528648579 1
AARS2 0.00692374434407486 1
AARSD1 0 1
AASDH 0.0052926485136472 1
AASDHPPT 0.0867274290069898 1
AASS 0.0913077147629783 1
AATF 0 1
AATK 0.00652438332171064 1
ABAT 0.0567753523296736 1
ABCA1 0.0050761421319797 1
ABCA10 0.0199052075055546 1
ABCA12 0.00056761972721818 1
ABCA13 0 1
ABCA2 0.0179084023937335 1
ABCA3 0.132339728515593 1
ABCA4 0.0223204294448679 1
ABCA5 0.0154449327776066 1
ABCA6 0.0055091548953147 1
ABCA7 0 1
ABCA8 0.0544801414184006 1
ABCA9 0.0247984949968375 1
ABCB1 0.11783380094387 1
ABCB10 0.076810706929826 1
ABCB11 0.0642286047907105 1
ABCB4 0.0297927377110329 1
ABCB5 0.00169839931236924 1
ABCB6 0.0531429915181395 1
ABCB7 0.00108253190833753 1
ABCB8 0.0444726001848818 1
ABCB9 0.0168595222263667 1
ABCC1 0.124343588329738 1
ABCC10 0.0691218922819935 1
ABCC11 0.00366155268321954 1
ABCC12 0 1
ABCC2 0.0112011644313261 1
ABCC3 0.0406281928609656 1
ABCC4 0.165804154976403 1
ABCC5 0.223600411929745 1
ABCC6 0 1
ABCC8 0.0497989004394999 1
ABCC9 0.32862100841699 1
ABCD1 0.0190189098457697 1
ABCD2 0.124925803992799 1
ABCD3 0.143147208121827 1
ABCD4 0.00163109583042766 1
ABCE1 0.259790629409188 1
ABCF1 0.156070287539936 1
ABCF2 0.0937711843791051 1
ABCF3 0.163990204505279 1
ABCG1 0.117766497461929 1
ABCG2 0.00406091370558376 1
ABCG4 0.0675244481925366 1
ABCG5 0.0178747506527627 1
ABCG8 0.000615867404031722 1
ABHD1 0.0026463242568236 1
ABHD10 0 1
ABHD11 0.0203045685279188 1
ABHD12 0.0174753896303985 1
ABHD12B 0 1
ABHD13 0.173613791537601 1
ABHD14A 0 1
ABHD14B 0 1
ABHD15 0.0122500445986929 1
ABHD16A 0.0382129709216523 1
ABHD16B 0.00550915489531471 1
ABHD2 0.114720812182741 1
ABHD3 0.0335698415530076 1
ABHD4 0.0280270349167221 1
ABHD5 0 1
ABHD6 0.0588832487309645 1
ABHD8 0.0449875123660012 1
ABI1 0.0935019704513387 1
ABI2 0.0548223350253807 1
ABI3 0.00833833379283502 1
ABI3BP 0.189034397755469 1
ABL1 0.0584019882908159 1
ABL2 0.21310147418952 1
ABLIM1 0.0212715492775012 1
ABLIM2 0.0867274290069898 1
ABLIM3 0.0911102641864388 1
ABO 0.00163109583042766 1
ABP1 0 1
ABR 0.127990545077115 1
ABRA 0.109480871215193 1
ABRACL 0 1
ABT1 0.103355848915846 1
ABTB1 0 1
ABTB2 0.0384631290442906 1
ACAA1 0 1
ACAA2 0.0558712151927474 1
ACACA 0.332763821540358 1
ACACB 0.017109680349005 1
ACAD10 0.0084056372747766 1
ACAD11 0.0286765540617246 1
ACAD8 0.0468687663190672 1
ACAD9 0.0948683122232854 1
ACADL 0.0247165955790532 1
ACADM 0 1
ACADS 0.00692374434407486 1
ACADSB 0.0242499310747474 1
ACADVL 0.0484325586675532 1
ACAN 0 1
ACAP1 0.0771427644702487 1
ACAP2 0.0574686592822043 1
ACAP3 0.109312612510339 1
ACAT1 0.019159193006925 1
ACAT2 0 1
ACBD3 0.0232010509073807 1
ACBD4 0.00710659898477157 1
ACBD5 0.0133325765070304 1
ACBD6 0.0107681516679911 1
ACBD7 0 1
ACCS 0.00304568527918782 1
ACCSL 0.0370148878545596 1
ACD 0.00532630025461799 1
ACE 0.0352536449295341 1
ACE2 0.00144824118973095 1
ACER1 0.0100703848461751 1
ACER2 0.0532585426768946 1
ACER3 0.04861541330825 1
ACHE 0.00905515641977912 1
ACIN1 0.00304568527918782 1
ACLY 0.0691028364768655 1
ACMSD 0 1
ACN9 0 1
ACO1 0.0319387457225799 1
ACO2 0.140933896628339 1
ACOT1 0.00732310536643908 1
ACOT11 0.00456122995086035 1
ACOT12 0.00590851591767892 1
ACOT13 0.0195058464831903 1
ACOT2 0 1
ACOT4 0.00858849191547332 1
ACOT6 0 1
ACOT7 0.02458198861517 1
ACOT8 0.0201217138872221 1
ACOT9 0 1
ACOX1 0.0189236308201294 1
ACOX2 0.0552744035938438 1
ACOX3 0.0540763205267511 1
ACOXL 0.0463347983328198 1
ACP1 0 1
ACP2 0.00387805906488704 1
ACP5 0.0101522842639594 1
ACP6 0.0207712330322246 1
ACPL2 0 1
ACPP 0.212865912002725 1
ACPT 0 1
ACR 0.00935356221923096 1
ACRBP 0.12893847002157 1
ACRC 0.000683170885973305 1
ACRV1 0.016243654822335 1
ACSBG1 0.030490504532849 1
ACSBG2 0 1
ACSF2 0.0375634517766497 1
