Metabolite	SMILES	KEGG	Gene Name
Prostaglandin D2	CCCCC[C@H](O)\C=C\[C@@H]1[C@@H](C\C=C/CCCC(O)=O)[C@@H](O)CC1=O	C00696	HPGDS
Prostaglandin D2	CCCCC[C@H](O)\C=C\[C@@H]1[C@@H](C\C=C/CCCC(O)=O)[C@@H](O)CC1=O	C00696	PTGDR
Prostaglandin D2	CCCCC[C@H](O)\C=C\[C@@H]1[C@@H](C\C=C/CCCC(O)=O)[C@@H](O)CC1=O	C00696	PTGDS
(S)-3-Hydroxyisobutyryl-CoA	CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12	C06000	ECHS1
(S)-3-Hydroxyisobutyryl-CoA	CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12	C06000	EHHADH
(S)-3-Hydroxyisobutyryl-CoA	CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12	C06000	HADHA
(S)-3-Hydroxyisobutyryl-CoA	CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12	C06000	HIBCH
Okadaic acid	CC(CC(O)C1OC2CCC3(CCC(O3)\C=C\C(C)C3CC(C)=CC4(OC(CC(C)(O)C(O)=O)CCC4O)O3)OC2C(O)C1=C)C1OC2(CCCCO2)CCC1C	C01945	PPP1CC
2-Hydroxyphenethylamine	NCC(O)C1=CC=CC=C1	C02735	PNMT
2-(3-Carboxy-3-(methylammonio)propyl)-L-histidine	C[NH2+]C(CCC1=NC=C(C[C@H](N)C(O)=O)N1)C(O)=O	C04692	DPH5
D-Xylulose	OC[C@@H](O)[C@H](O)C(=O)CO	C00310	XYLB
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	ABCA7
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	ACER1
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	ACER2
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	ASAH1
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	ASAH2
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	ASAH2C
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	B3GALT5
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	B3GNT5
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	CD1A
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	CD1B
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	CD1C
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	CD1D
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	CD1E
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	CERK
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	CERS1
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	CERS5
N-Palmitoylsphingosine	CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC	None	COL4A3BP
