"","Metabolite","KEGG_ID","Num_Sig_Genes","Gene_Count","DiffMut_Score","Normalized_Score"
"122","24-Hydroxycholesterol","C13550",1,1,1,1
"149","3-Indolebutyric acid","C11284",1,1,1,1
"275","7-Ketocholesterol","None",1,1,1,1
"317","ADP-Ribosyl-L-arginine","None",1,1,1,1
"858","Neuraminic acid","C06469",1,1,1,1
"912","Pentanal","None",1,1,1,1
"913","PG(16:0/16:0)","None",1,1,1,1
"1030","Stearidonic acid","C16300",1,1,1,1
"392","Carbamoyl phosphate","C00169",2,3,0.666666666666667,0.666666666666667
"954","Prostaglandin I2","C01312",2,3,0.666666666666667,0.666666666666667
"23","(S)-Succinyldihydrolipoamide","C01169",1,2,0.5,0.5
"61","16a-Hydroxydehydroisoandrosterone","C05139",1,2,0.5,0.5
"71","1D-Myo-inositol 1,3-bisphosphate","C04062",1,2,0.5,0.5
"132","3-Carboxy-1-hydroxypropylthiamine diphosphate","C05381",1,2,0.5,0.5
"167","3-Oxooctadecanoyl-CoA","C16216",1,2,0.5,0.5
"219","4,5-Dihydroorotic acid","C00337",1,2,0.5,0.5
"318","Adrenosterone","C05285",1,2,0.5,0.5
"388","Canavaninosuccinate","None",1,2,0.5,0.5
"927","Phosphoribosyl-ATP","C02739",1,2,0.5,0.5
"952","Prostaglandin G2","C05956",1,2,0.5,0.5
"44","11-Dehydrocorticosterone","C05490",1,3,0.333333333333333,0.333333333333333
"282","7a-Hydroxydehydroepiandrosterone","C18045",1,3,0.333333333333333,0.333333333333333
"431","Cob(II)alamin","C00541",1,3,0.333333333333333,0.333333333333333
"439","Cortisol","C00735",2,6,0.333333333333333,0.333333333333333
"482","D-Tagatose 1,6-bisphosphate","C03785",1,3,0.333333333333333,0.333333333333333
"574","Escitalopram","None",1,3,0.333333333333333,0.333333333333333
"632","Glutaric acid","C00489",1,3,0.333333333333333,0.333333333333333
"966","Pyrimidine","C00396",1,3,0.333333333333333,0.333333333333333
"997","S-Glutaryldihydrolipoamide","C06157",1,3,0.333333333333333,0.333333333333333
"1051","Tetrahydrocorticosterone","C05476",1,3,0.333333333333333,0.333333333333333
"1096","Ureidosuccinic acid","C00438",1,3,0.333333333333333,0.333333333333333
"1108","Valdecoxib","None",1,3,0.333333333333333,0.333333333333333
"1011","Selenomethionine","C05335",2,7,0.285714285714286,0.285714285714286
"926","Phosphoribosyl pyrophosphate","C00119",3,11,0.272727272727273,0.272727272727273
"49","11b,17a,21-Trihydroxypreg-nenolone","C05489",1,4,0.25,0.25
"120","21-Hydroxypregnenolone","C05485",1,4,0.25,0.25
"248","5-Methylcytosine","C02376",1,4,0.25,0.25
"400","Celecoxib","C07589",1,4,0.25,0.25
"440","Cortisone","C00762",1,4,0.25,0.25
"497","Dehydroascorbic acid","C00425",1,4,0.25,0.25
"591","Fructose 1-phosphate","C01094",1,4,0.25,0.25
"1012","Sepiapterin","C00835",1,4,0.25,0.25
"1032","Substance P","None",1,4,0.25,0.25
"1037","Sulfite","C00094",1,4,0.25,0.25
"1039","Superoxide","C00704",1,4,0.25,0.25
"354","Aspirin","C01405",2,9,0.222222222222222,0.222222222222222
"953","Prostaglandin H2","C00427",2,9,0.222222222222222,0.222222222222222
"34","1-Phosphatidyl-D-myo-inositol","C01194",5,25,0.2,0.2
"41","10-Formyltetrahydrofolate","C00234",2,10,0.2,0.2
"78","2-(a-Hydroxyethyl)thiamine diphosphate","C05125",1,5,0.2,0.2
"351","Argininosuccinic acid","C03406",1,5,0.2,0.2
"391","Caprylic acid","C06423",1,5,0.2,0.2
"592","Fructose 1,6-bisphosphate","C00354",2,10,0.2,0.2
"633","Glutaryl-CoA","C00527",1,5,0.2,0.2
"647","Glyoxylic acid","C00048",2,10,0.2,0.2
"703","Inositol 1,4,5-trisphosphate","C01245",5,25,0.2,0.2
"745","L-Palmitoylcarnitine","C02990",1,5,0.2,0.2
"765","Lipoamide","C00248",1,5,0.2,0.2
"816","N-Acetyl-L-alanine","None",1,5,0.2,0.2
"821","N-Acetylgalactosamine 4-sulphate","C16265",1,5,0.2,0.2
"887","Oxoadipic acid","C00322",1,5,0.2,0.2
"1047","Tetradecanoyl-CoA","C02593",3,15,0.2,0.2
"771","Loperamide","C07080",2,11,0.181818181818182,0.181818181818182
"444","Cyclic GMP","C00942",8,45,0.177777777777778,0.177777777777778
