"","Metabolite","KEGG_ID","Num_Sig_Genes","Gene_Count","Expression_Score","Normalized_Score"
"17","(S)-3-Hydroxyisobutyric acid","C06001",4,4,1,1
"28","1-Methylhistamine","C05127",3,3,1,1
"138","3-Hydroxy-L-proline","C04397",3,3,1,1
"155","3-Methylglutaconyl-CoA","C03231",3,3,1,1
"244","5-Methylcytosine","C02376",4,4,1,1
"270","7-Dehydrocholesterol","C01164",6,6,1,1
"316","Agmatine","C00179",3,3,1,1
"403","Chloroacetic acid","C06755",3,3,1,1
"453","D-Fructose 2,6-bisphosphate","C00665",4,4,1,1
"474","D-Tartaric acid","C02107",3,3,1,1
"512","Diadenosine hexaphosphate","C20190",3,3,1,1
"538","Docosahexaenoic acid","C06429",4,4,1,1
"557","Ecgonine methyl ester","C12448",3,3,1,1
"744","Lathosterol","C01189",5,5,1,1
"912","Phosphoribosyl formamidocarboxamide","C04734",3,3,1,1
"941","Prostaglandin I2","C01312",3,3,1,1
"953","Pyrimidine","C00396",3,3,1,1
"983","S-Lactoylglutathione","C03451",3,3,1,1
"984","S-Methylmalonyl-CoA","C00683",4,4,1,1
"985","Saccharopine","C00449",3,3,1,1
"1081","Ureidosuccinic acid","C00438",3,3,1,1
"204","4-Hydroxyproline","C01157",10,11,0.909090909090909,0.909090909090909
"833","N4-Acetylaminobutanal","C05936",7,8,0.875,0.875
"238","5-Hydroxyindoleacetic acid","C05635",6,7,0.857142857142857,0.857142857142857
"554","dUMP","C00365",6,7,0.857142857142857,0.857142857142857
"786","Methylmalonic acid","C02170",6,7,0.857142857142857,0.857142857142857
"811","N-Acetyllactosamine","C00611",6,7,0.857142857142857,0.857142857142857
"203","4-Hydroxyphenylpyruvic acid","C01179",5,6,0.833333333333333,0.833333333333333
"213","4-Trimethylammoniobutanal","C01149",5,6,0.833333333333333,0.833333333333333
"407","Cholesteryl acetate","C02530",5,6,0.833333333333333,0.833333333333333
"461","D-Lactic acid","C00256",5,6,0.833333333333333,0.833333333333333
"800","N-Acetyl-D-Glucosamine 6-Phosphate","C00357",5,6,0.833333333333333,0.833333333333333
"101","2-Oxo-4-methylthiobutanoic acid","C01180",4,5,0.8,0.8
"284","8,11,14-Eicosatrienoic acid","C03242",4,5,0.8,0.8
"345","Argininosuccinic acid","C03406",4,5,0.8,0.8
"385","Carbon monoxide","C00237",4,5,0.8,0.8
"421","Clopidogrel","None",4,5,0.8,0.8
"543","Dolichyl b-D-glucosyl phosphate","C01246",4,5,0.8,0.8
"671","Hydrogen selenide","C01528",4,5,0.8,0.8
"752","Linoleoyl-CoA","C02050",4,5,0.8,0.8
"21","(S)-Methylmalonic acid semialdehyde","C06002",11,14,0.785714285714286,0.785714285714286
"686","Indoleacetaldehyde","C00637",7,9,0.777777777777778,0.777777777777778
"41","11-cis-Retinol","C00899",3,4,0.75,0.75
"99","2-Methylpropan-2-ol","None",3,4,0.75,0.75
"282","8-Oxo-dGMP","None",3,4,0.75,0.75
"428","Coproporphyrinogen III","C03263",3,4,0.75,0.75
"609","Glucaric acid","C00818",6,8,0.75,0.75
"624","Glyceraldehyde","C02154",9,12,0.75,0.75
"768","LysoPC(P-18:0)","C04230",3,4,0.75,0.75
"816","N-Acetylputrescine","C02714",3,4,0.75,0.75
"945","Pseudouridine","C02067",9,12,0.75,0.75
"957","Pyrroline hydroxycarboxylic acid","C04281",3,4,0.75,0.75
"968","Retinyl ester","C02075",3,4,0.75,0.75
"997","Sepiapterin","C00835",3,4,0.75,0.75
"1060","trans-1,2-Dihydrobenzene-1,2-diol","C04221",3,4,0.75,0.75
"250","5,10-Methylene-THF","C00143",8,11,0.727272727272727,0.727272727272727
"96","2-Methyl-3-oxopropanoic acid","C00349",5,7,0.714285714285714,0.714285714285714
"111","2'-Deoxyinosine triphosphate","C01345",5,7,0.714285714285714,0.714285714285714
"192","4-Aminobutyraldehyde","C00555",5,7,0.714285714285714,0.714285714285714
"391","CE(18:2(9Z,12Z))","C15441",5,7,0.714285714285714,0.714285714285714
