"","Metabolite","KEGG_ID","Gene_Count","Mutation_Score","Normalized_Score"
"33","1-Phosphatidyl-D-myo-inositol","C01194",22,0.0219565686393377,1
"544","Ecgonine methyl ester","C12448",4,0.0166165822255981,0.733506489553119
"47","11b,17a,21-Trihydroxypreg-nenolone","C05489",4,0.013822044813193,0.594044321036957
"773","Myoinositol","C00137",3,0.0136008656286615,0.583006312181371
"576","Galactosylglycerol","C05401",5,0.0126943935702994,0.537768571438551
"395","Cholesteryl acetate","C02530",6,0.0116226022156645,0.484280525134095
"417","Cortexolone","C05488",6,0.011581855841252,0.482247065961385
"896","PIP3(16:0/16:0)","C00626",71,0.0115704879422855,0.481679747794771
"879","Phosphatidylinositol-3,4,5-trisphosphate","C05981",70,0.0115370228632002,0.480009663694952
"418","Corticosterone","C02140",8,0.0114322148111328,0.474779188642306
"910","Prostaglandin D2","C00696",3,0.0113194128782995,0.469149776741822
"64","17a,21-Dihydroxypreg-nenolone","C05487",6,0.0112389880401044,0.465136152774051
"419","Cortisol","C00735",5,0.01119180952265,0.462781695709941
"518","Dimethylallylpyrophosphate","C00235",5,0.0109577750310793,0.45110213917327
"914","Prostaglandin H2","C00427",8,0.0109094174088279,0.448688838555594
"409","Clopidogrel","None",5,0.0108744419990818,0.446943380983161
"62","17-Hydroxyprogesterone","C01176",8,0.0108563515344541,0.446040571303375
"607","Glutaric acid","C00489",3,0.0108221903467654,0.444335747709674
"379","CE(18:2(9Z,12Z))","C15441",8,0.0105418664102565,0.430346103520628
"372","Carbamoyl phosphate","C00169",3,0.0105355170443725,0.430029236646364
"935","QH2","C00390",30,0.0105317466537406,0.42984107425092
"1045","Ubiquinone-1","C00399",31,0.0103668533487987,0.421612027905393
"999","Sumatriptan","C07319",9,0.0101581986312564,0.411199056065975
"940","Rabeprazole","C07864",4,0.0100416141771709,0.405380876388057
"565","Fructosamine","None",3,0.0099902649511932,0.402818278952541
"45","11b-Hydroxyprogesterone","C05498",5,0.00997599471233424,0.402106118704594
"110","21-Deoxycortisol","C05497",5,0.00997599471233424,0.402106118704594
"802","N,N-Dimethylaniline","C02846",5,0.00995416328349369,0.401016615163008
"566","Fructose 1-phosphate","C01094",4,0.00991961059075153,0.399292253400484
"700","L-Carnitine","C15025",15,0.00963306260052458,0.384991996075747
"676","Inositol phosphate","C01177",5,0.00959224957099948,0.382955210461062
"683","Isopentenyl pyrophosphate","C00129",7,0.00958956417947309,0.382821195248411
"335","Aspirin","C01405",9,0.00951647663319368,0.379173740878895
"105","2'-Deoxyinosine triphosphate","C01345",5,0.00950354671996522,0.378528469955142
"973","Sepiapterin","C00835",3,0.00950173163633644,0.378437887700711
"131","3-Hydroxy-3-methylglutaryl-CoA","C00356",5,0.00944821093451851,0.375766922158112
"371","Caprylic acid","C06423",5,0.00940940344340811,0.373830223497038
"528","Dodecanoic acid","C02679",9,0.00934721202988438,0.370726543669885
"337","Atorvastatin","C06834",15,0.00933655071937559,0.370194487997208
"44","11b-Hydroxyandrost-4-ene-3,17-dione","C05284",7,0.00930947541399213,0.368843287335068
"503","dIDP","C01344",4,0.00930211381232766,0.368475904552028
"1013","Tetrahydrodeoxycorticosterone","C13713",3,0.00928792569659443,0.367767842681562
"420","Cortisone","C00762",3,0.00916013350461623,0.361390337720061
"1000","Superoxide","C00704",3,0.00912113412113412,0.359444062616688
"102","2,3-Epoxyaflatoxin B1","C19586",10,0.00911183668342762,0.358980071396375
"615","Glycerylphosphorylethanolamine","C01233",6,0.00910574384193527,0.358676006443379
"711","L-Lactic acid","C00186",3,0.00903013250607219,0.354902601651209
"421","Creatine","C00300",8,0.00900423459212769,0.353610159037017
"396","Cholic acid","C00695",24,0.00898549207133766,0.352674808312696
"975","Sertraline","C07246",6,0.00892815252445491,0.349813262242672
"306","Aldosterone","C01780",12,0.00891306168702817,0.349060149794466
"146","3-Methylhistidine","C01152",6,0.00889362245720712,0.348090029611751
"294","Adenosylcobalamin","C00194",3,0.00887612971823498,0.347217049597416
