"","Metabolite","KEGG_ID","Gene_Count","Structural_Score","Normalized_Score"
"258","7-Ketocholesterol","None",1,0.0102739726027397,1
"301","Adrenosterone","C05285",1,0.0102739726027397,1
"24","1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide","C15497",1,0.00865800865800866,0.842712842712843
"137","3-Indolebutyric acid","C11284",1,0.00840336134453781,0.817927170868347
"682","Isopentanol","C07328",1,0.00738916256157635,0.719211822660099
"999","Sumatriptan","C07319",9,0.00720484279247082,0.701271365133827
"420","Cortisone","C00762",3,0.00699608610567515,0.680952380952381
"595","Gluconic acid","C00257",1,0.00668896321070234,0.651059085841695
"709","L-Gulonolactone","C01040",1,0.00668896321070234,0.651059085841695
"1011","Tetrahydrocorticosterone","C05476",2,0.00668497391746893,0.650670794633643
"976","Sialyl-Lewis X","None",2,0.00656167979002625,0.638670166229221
"631","Gulonic acid","C00800",2,0.00647927784359568,0.63064971010998
"124","3-Dehydro-L-gulonate","C00618",1,0.00626959247648903,0.610240334378265
"1034","trans-3-Hexenoyl-CoA","None",1,0.00597014925373134,0.581094527363184
"873","Pentanal","None",1,0.00595238095238095,0.579365079365079
"806","N1-Acetylspermidine","C00612",3,0.00584795321637427,0.569200779727095
"230","5-Methoxyindoleacetate","C05660",1,0.00579710144927536,0.564251207729469
"1024","Thromboxane A2","C02198",1,0.00562851782363977,0.547842401500938
"973","Sepiapterin","C00835",3,0.00542562965082679,0.528094619347141
"522","dIMP","C06196",1,0.00515463917525773,0.501718213058419
"42","11-Dehydrocorticosterone","C05490",2,0.00513698630136986,0.5
"910","Prostaglandin D2","C00696",3,0.00510446971700608,0.496835052455259
"250","6-Hydroxyhexanoic acid","C06103",2,0.00488294314381271,0.475273132664437
"846","Oxalosuccinic acid","C05379",1,0.00483091787439614,0.470209339774557
"592","Geranyl-PP","C00341",3,0.00460885706709096,0.448595421196853
"989","Stachyose","C01613",1,0.00440528634361234,0.428781204111601
"791","N-Acetylputrescine","C02714",4,0.0043859649122807,0.426900584795322
"574","Galactose 1-phosphate","C00446",1,0.00436681222707424,0.425036390101892
"331","Arecoline","C10129",1,0.00434782608695652,0.423188405797101
"1021","Thiamine triphosphate","C03028",2,0.00423152621220254,0.411868551321047
"820","Neuraminic acid","C06469",1,0.00415512465373961,0.404432132963989
"1013","Tetrahydrodeoxycorticosterone","C13713",3,0.00412796697626419,0.401788785689714
"553","Ethyl p-anisate","None",1,0.00402414486921529,0.391683433936955
"113","24-Hydroxycholesterol","C13550",1,0.004,0.389333333333333
"56","15-Keto-prostaglandin F2a","C05960",1,0.0037593984962406,0.365914786967419
"518","Dimethylallylpyrophosphate","C00235",5,0.00364637150897704,0.354913493540432
"183","4-Fumarylacetoacetic acid","C01061",2,0.00350813223724918,0.341458204425587
"884","Phosphoglycolic acid","C00988",1,0.0034965034965035,0.34032634032634
"748","LysoPE(0:0/18:0)","None",1,0.00347624565469293,0.338354577056779
"265","7a-Hydroxydehydroepiandrosterone","C18045",3,0.00342465753424658,0.333333333333333
"316","Aminopropylcadaverine","C16565",1,0.0033112582781457,0.322295805739514
"1072","Zolpidem","C07219",7,0.00323584649076252,0.314955725100885
"419","Cortisol","C00735",5,0.00320053926126556,0.311519154763181
"636","Hemin","C06767",1,0.00317460317460317,0.308994708994709
"21","(S)-Propane-1,2-diol","C02917",1,0.00316455696202532,0.308016877637131
"77","2-Acetolactate","C00900",1,0.00316455696202532,0.308016877637131
"320","Androstanediol","C07632",1,0.00315457413249211,0.307045215562566
"888","Phosphoribosyl-ATP","C02739",1,0.00314465408805031,0.306079664570231
"108","20a-Dihydroprogesterone","C04042",1,0.00309597523219814,0.301341589267286
