"","Ensemble","Start_position","End_position"
"1","ENSG00000116198","545","545"
"2","ENSG00000033122","1131","1131"
"3","ENSG00000116996","256","256"
"4","ENSG00000091106","527","527"
"5","ENSG00000115850","1527","1527"
"6","ENSG00000155657","18388","18388"
"7","ENSG00000163516","641","641"
"8","ENSG00000163946","303","303"
"9","ENSG00000121879","1047","1047"
"10","ENSG00000145113","4805","4805"
"11","ENSG00000120149","168","168"
"12","ENSG00000169228","202","202"
"13","ENSG00000242802","486","486"
"14","ENSG00000164638","14","14"
"15","ENSG00000008311","263","263"
"16","ENSG00000082556","285","285"
"17","ENSG00000137474","1206","1206"
"18","ENSG00000089775","221","221"
"19","ENSG00000105705","642","642"
"20","ENSG00000131051","332","332"
"21","ENSG00000102174","562","562"
"22","ENSG00000189132","338","338"
"23","ENSG00000147168","89","89"
"24","ENSG00000214193","301","301"
"25","ENSG00000132849","617","617"
"26","ENSG00000143520","297","297"
"27","ENSG00000115464","729","729"
"28","ENSG00000197121","447","447"
"29","ENSG00000172752","1381","1381"
"30","ENSG00000150961","337","337"
"31","ENSG00000091137","755","755"
"32","ENSG00000055609","3394","3394"
"33","ENSG00000254093","286","286"
"34","ENSG00000137574","786","786"
"35","ENSG00000147655","98","98"
"36","ENSG00000151150","2328","2328"
"37","ENSG00000138336","1694","1694"
"38","ENSG00000123104","509","509"
"39","ENSG00000168348","54","54"
"40","ENSG00000166140","30","30"
"41","ENSG00000256061","303","303"
"42","ENSG00000141510","126","126"
"43","ENSG00000179148","705","705"
"44","ENSG00000170160","301","301"
"45","ENSG00000105053","309","309"
"46","ENSG00000189430","21","21"
"47","ENSG00000132671","361","361"
"48","ENSG00000124177","230","230"
"49","ENSG00000182871","6","6"
"50","ENSG00000128268","293","293"
"51","ENSG00000180182","1169","1169"
"52","ENSG00000142856","134","134"
"53","ENSG00000206538","228","228"
"54","ENSG00000121879","542","542"
"55","ENSG00000132429","128","128"
"56","ENSG00000196335","349","349"
"57","ENSG00000005483","395","395"
"58","ENSG00000141577","908","908"
"59","ENSG00000105701","151","151"
"60","ENSG00000160191","118","118"
"61","ENSG00000099999","356","356"
"62","ENSG00000189410","410","410"
"63","ENSG00000273274","227","227"
"64","ENSG00000214193","249","249"
"65","ENSG00000132485","261","261"
"66","ENSG00000162618","232","232"
"67","ENSG00000137941","790","790"
"68","ENSG00000134186","148","148"
"69","ENSG00000143107","361","361"
"70","ENSG00000198758","120","120"
"71","ENSG00000081019","263","263"
"72","ENSG00000116830","327","327"
"73","ENSG00000182134","112","112"
"74","ENSG00000160838","512","512"
"75","ENSG00000163554","1419","1419"
"76","ENSG00000198734","1363","1363"
"77","ENSG00000198734","1362","1362"
"78","ENSG00000116191","195","195"
"79","ENSG00000143341","4771","4771"
"80","ENSG00000197721","171","171"
"81","ENSG00000042781","5186","5186"
"82","ENSG00000143502","432","432"
"83","ENSG00000143514","385","385"
"84","ENSG00000162843","985","985"
"85","ENSG00000084710","150","150"
"86","ENSG00000152683","431","431"
"87","ENSG00000138078","321","321"
"88","ENSG00000138078","81","81"
"89","ENSG00000214595","216","216"
"90","ENSG00000075292","872","872"
"91","ENSG00000187605","1101","1101"
"92","ENSG00000115548","1144","1144"
"93","ENSG00000182263","588","588"
"94","ENSG00000118997","1786","1786"
"95","ENSG00000119013","94","94"
"96","ENSG00000135905","1831","1831"
"97","ENSG00000153827","1518","1518"
"98","ENSG00000132321","623","623"
"99","ENSG00000171148","402","402"
"100","ENSG00000007402","906","906"
"101","ENSG00000163602","257","257"
"102","ENSG00000113805","1028","1028"
"103","ENSG00000114491","153","153"
"104","ENSG00000047457","762","762"
"105","ENSG00000090402","495","495"
"106","ENSG00000121879","614","614"
"107","ENSG00000090512","176","176"
"108","ENSG00000187527","507","507"
"109","ENSG00000145016","542","542"
"110","ENSG00000186777","151","151"
"111","ENSG00000163694","578","578"
"112","ENSG00000163440","110","110"
"113","ENSG00000126545","180","180"
"114","ENSG00000056291","396","396"
"115","ENSG00000138802","381","381"
"116","ENSG00000151470","76","76"
"117","ENSG00000198589","462","462"
"118","ENSG00000197410","979","979"
"119","ENSG00000151729","80","80"
"120","ENSG00000145626","364","364"
"121","ENSG00000198961","465","465"
"122","ENSG00000134987","536","536"
"123","ENSG00000170482","261","261"
"124","ENSG00000253537","356","356"
"125","ENSG00000276547","474","474"
"126","ENSG00000072786","630","630"
"127","ENSG00000008083","367","367"
"128","ENSG00000124557","463","463"
"129","ENSG00000213676","702","702"
"130","ENSG00000023892","78","78"
"131","ENSG00000124721","1739","1739"
"132","ENSG00000124571","1198","1198"
"133","ENSG00000146147","68","68"
"134","ENSG00000135299","614","614"
"135","ENSG00000112214","163","163"
"136","ENSG00000074935","238","238"
"137","ENSG00000255690","256","256"
"138","ENSG00000197123","73","73"
"139","ENSG00000077800","321","321"
"140","ENSG00000263001","135","135"
"141","ENSG00000240720","770","770"
"142","ENSG00000105967","233","233"
"143","ENSG00000155561","1146","1146"
"144","ENSG00000059377","116","116"
"145","ENSG00000257335","1110","1110"
"146","ENSG00000105982","134","134"
"147","ENSG00000133863","1100","1100"
"148","ENSG00000147485","1329","1329"
"149","ENSG00000187735","145","145"
"150","ENSG00000185728","448","448"
"151","ENSG00000066777","904","904"
"152","ENSG00000184672","291","291"
"153","ENSG00000104517","2560","2560"
"154","ENSG00000164930","506","506"
"155","ENSG00000164934","324","324"
"156","ENSG00000176406","758","758"
"157","ENSG00000176406","837","837"
"158","ENSG00000169946","833","833"
"159","ENSG00000205038","3453","3453"
"160","ENSG00000164796","2242","2242"
"161","ENSG00000164946","1026","1026"
"162","ENSG00000137076","104","104"
"163","ENSG00000196092","72","72"
"164","ENSG00000127084","574","574"
"165","ENSG00000136813","1232","1232"
"166","ENSG00000182752","204","204"
"167","ENSG00000108100","59","59"
"168","ENSG00000198964","167","167"
"169","ENSG00000170370","215","215"
"170","ENSG00000175518","108","108"
"171","ENSG00000165973","316","316"
"172","ENSG00000172464","50","50"
"173","ENSG00000165323","2518","2518"
"174","ENSG00000149289","652","652"
"175","ENSG00000149294","475","475"
"176","ENSG00000137709","126","126"
"177","ENSG00000109927","1043","1043"
"178","ENSG00000109956","108","108"
"179","ENSG00000111247","55","55"
"180","ENSG00000121381","241","241"
"181","ENSG00000018236","497","497"
"182","ENSG00000110911","489","489"
"183","ENSG00000185640","304","304"
"184","ENSG00000127325","456","456"
"185","ENSG00000127325","456","456"
"186","ENSG00000139289","154","154"
"187","ENSG00000197651","382","382"
"188","ENSG00000075035","454","454"
"189","ENSG00000111249","1267","1267"
"190","ENSG00000183273","270","270"
"191","ENSG00000177084","1710","1710"
"192","ENSG00000102452","1258","1258"
"193","ENSG00000175820","5658","5658"
"194","ENSG00000100504","170","170"
"195","ENSG00000137857","734","734"
"196","ENSG00000140525","210","210"
